343
     15556	リン        		         2
     15578	ゴン        		         2
     15589	サツ        		         2
     15883	ズ         		         1
     15957	ビョウ       		         3
     16052	ボ         		         1
     16155	ボク        		         2
     16213	ユ         		         1
     16293	ミョウ       		         3
     16481	ヤク        		         2
     16758	ム         		         1
     17002	ニン        		         2
     17060	モウ        		         2
     17554	トク        		         2
     17733	ビ         		         1
     17984	シャク       		         3
     18022	オン        		         2
     18290	グ         		         1
     18642	ガイ        		         2
     18866	ヘン        		         2
     18884	ゼン        		         2
     18887	ガ         		         1
     18938	タク        		         2
     19028	メイ        		         2
     19038	フク        		         2
     19298	ウ         		         1
     19870	ジュン       		         3
     20099	シツ        		         2
     20200	バイ        		         2
     21203	ハク        		         2
     21362	リ         		         1
     22222	エイ        		         2
     22452	キョ        		         2
     22564	リュウ       		         3
     22897	ダン        		         2
     23078	セツ        		         2
     23169	サク        		         2
     23299	ヒョウ       		         3
     24259	ハイ        		         2
     24360	ヘイ        		         2
     24375	バン        		         2
     24474	ジュウ       		         3
     24739	ホ         		         1
     24971	コク        		         2
     25661	ロウ        		         2
     25785	ガン        		         2
     25973	テン        		         2
     26085	ジュ        		         2
     26188	ゴウ        		         2
     26506	イン        		         2
     26951	ショク       		         3
     27403	ジン        		         2
     27653	レイ        		         2
     27662	エ         		         1
     27688	ゾウ        		         2
     27811	ソク        		         2
     27851	ギ         		         1
     28315	チュウ       		         3
     28877	ケ         		         1
     28920	ソ         		         1
     29111	ダイ        		         2
     29482	サ         		         1
     29526	ス         		         1
     29884	ト         		         1
     30704	ブ         		         1
     30731	ショ        		         2
     31977	スイ        		         2
     32230	コン        		         2
     33117	ドウ        		         2
     34013	チ         		         1
     34698	シャ        		         2
     34730	サン        		         2
     35639	ゲン        		         2
     37286	タン        		         2
     37588	セキ        		         2
     38885	オウ        		         2
     39276	ゴ         		         1
     40502	キン        		         2
     42056	ヒ         		         1
     43598	ユウ        		         2
     44432	エン        		         2
     46018	カク        		         2
     46519	ク         		         1
     46906	ボウ        		         2
     47107	リョウ       		         3
     48403	コ         		         1
     50183	ハン        		         2
     51854	キュウ       		         3
     53416	フ         		         1
     53885	ヨウ        		         2
     54451	タイ        		         2
     54565	ジ         		         1
     56097	シュ        		         2
     58777	イ         		         1
     61367	ホウ        		         2
     62051	テイ        		         2
     64086	カイ        		         2
     64185	ジョウ       		         3
     64753	サイ        		         2
     68004	シュウ       		         3
     69107	セン        		         2
     71812	ケイ        		         2
     76789	チョウ       		         3
     77963	シン        		         2
     81308	ケン        		         2
     84379	カ         		         1
     91679	セイ        		         2
     92167	キョウ       		         3
     97063	カン        		         2
     97867	キ         		         1
     98449	トウ        		         2
    101760	ソウ        		         2
    129223	シ         		         1
    172914	ショウ       		         3
    180418	コウ        		         2
Ends
ケ or ke appears 1 times
チ or chi appears 14 times
ク or ku appears 51 times
キ or ki appears 13 times
ュ or ュ appears 4 times
ウ or u appears 39 times
ャ or ャ appears 6 times
ツ or tsu appears 41 times
ン or n appears 63 times
ッ or ッ appears 9 times
イ or i appears 31 times
ト or to appears 1 times
ア or a appears 1 times
カ or ka appears 1 times
ス or su appears 1 times
ル or ru appears 2 times
ョ or ョ appears 7 times
